# Logfile created on 2026-03-20 18:42:23 +0100 by logger.rb/v1.4.3
2026-03-20 18:42:23 +0100: Memory Usage (434436K) : baspoly_pin has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (434436K) : psd_drw has 5 polygons
2026-03-20 18:42:23 +0100: Memory Usage (434564K) : nldb_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (434564K) : digibnd_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (434564K) : via1_drw has 18 polygons
2026-03-20 18:42:23 +0100: Memory Usage (434692K) : backmetal1_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (434692K) : backmetal1_pin has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (434692K) : backmetal1_mask has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (434820K) : backmetal1_filler has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (434820K) : backmetal1_nofill has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (434820K) : backmetal1_slit has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (434948K) : backmetal1_text has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (434948K) : backmetal1_opc has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (434948K) : backmetal1_noqrc has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435076K) : backmetal1_res has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435076K) : backmetal1_iprobe has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435076K) : backmetal1_diffprb has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435204K) : backpassiv_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435204K) : res_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435204K) : sram_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435204K) : trans_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435332K) : ind_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435332K) : ind_pin has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435332K) : ind_text has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435460K) : salblock_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435460K) : via2_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435460K) : metal3_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435588K) : metal3_pin has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435588K) : metal3_mask has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435588K) : metal3_filler has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435716K) : metal3_nofill has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435716K) : metal3_slit has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435716K) : metal3_text has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435844K) : metal3_opc has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435844K) : metal3_noqrc has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435844K) : metal3_res has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435972K) : metal3_iprobe has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435972K) : metal3_diffprb has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (435972K) : nwell_drw has 13 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436100K) : nwell_pin has 3 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436100K) : nbulay_drw has 3 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436100K) : nbulay_pin has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436228K) : nbulay_block has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436228K) : emwind_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436228K) : emwind_opc has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436228K) : deepco_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436228K) : deepco_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436356K) : mim_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436356K) : edgeseal_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436356K) : edgeseal_bound has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436356K) : substrate_drw has 5 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436484K) : substrate_text has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436484K) : dfpad_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436484K) : dfpad_pillar has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436612K) : dfpad_sbump has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436612K) : thickgateox_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436740K) : pldb_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436740K) : pwell_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436868K) : pwell_pin has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436868K) : pwell_block has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436868K) : ic_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436996K) : via3_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (436996K) : metal4_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (437124K) : metal4_pin has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (437124K) : metal4_mask has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (437124K) : metal4_filler has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (437124K) : metal4_nofill has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (437252K) : metal4_slit has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (437252K) : metal4_text has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (437380K) : metal4_opc has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (437380K) : metal4_noqrc has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (437380K) : metal4_res has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (437508K) : metal4_iprobe has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (437508K) : metal4_diffprb has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (437636K) : heattrans_drw has 9 polygons
2026-03-20 18:42:23 +0100: Memory Usage (437636K) : heatres_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (437764K) : pempoly_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (437764K) : fbe_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (437764K) : empoly_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (437892K) : ldmos_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (437892K) : pbiwind_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (438020K) : digisub_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (438020K) : nodrc_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (438148K) : text_drw has 13 polygons
2026-03-20 18:42:23 +0100: Memory Usage (438148K) : via4_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (438148K) : metal5_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (438276K) : metal5_pin has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (438276K) : metal5_mask has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (438404K) : metal5_filler has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (438404K) : metal5_nofill has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (438404K) : metal5_slit has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (438404K) : metal5_text has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (438532K) : metal5_opc has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (438532K) : metal5_noqrc has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (438532K) : metal5_res has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (438660K) : metal5_iprobe has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (438660K) : metal5_diffprb has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (438788K) : radhard_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (438788K) : memcap_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (438916K) : varicap_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (438916K) : flash_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (438916K) : intbondvia_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (439044K) : intbondmet_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (439044K) : devbondvia_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (439172K) : devbondmet_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (439172K) : devtrench_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (439300K) : redist_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (439300K) : graphbot_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (439300K) : graphtop_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (439428K) : antvia1_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (439428K) : antmetal2_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (439556K) : graphcont_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (439556K) : siwg_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (439684K) : siwg_filler has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (439684K) : siwg_nofill has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (439684K) : sigrating_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (439684K) : singrating_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (439684K) : graphpas_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (439812K) : emwind3_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (439812K) : emwihv3_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (439940K) : redbulay_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (439940K) : smos_drw has 0 polygons
