# Logfile created on 2026-03-11 03:00:58 +0100 by logger.rb/v1.4.3
2026-03-11 03:00:58 +0100: Memory Usage (433880K) : baspoly_pin has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434008K) : psd_drw has 3 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434008K) : nldb_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434008K) : digibnd_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434136K) : via1_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434136K) : backmetal1_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434136K) : backmetal1_pin has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434264K) : backmetal1_mask has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434264K) : backmetal1_filler has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434264K) : backmetal1_nofill has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434392K) : backmetal1_slit has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434392K) : backmetal1_text has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434392K) : backmetal1_opc has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434520K) : backmetal1_noqrc has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434520K) : backmetal1_res has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434520K) : backmetal1_iprobe has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434648K) : backmetal1_diffprb has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434648K) : backpassiv_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434648K) : res_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434776K) : sram_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434776K) : trans_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434776K) : ind_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434904K) : ind_pin has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434904K) : ind_text has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434904K) : salblock_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434904K) : via2_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435032K) : metal3_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435032K) : metal3_pin has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435032K) : metal3_mask has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435160K) : metal3_filler has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435160K) : metal3_nofill has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435160K) : metal3_slit has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435288K) : metal3_text has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435288K) : metal3_opc has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435288K) : metal3_noqrc has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435416K) : metal3_res has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435416K) : metal3_iprobe has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435416K) : metal3_diffprb has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435544K) : nwell_drw has 4 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435544K) : nwell_pin has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435544K) : nbulay_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435672K) : nbulay_pin has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435672K) : nbulay_block has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435672K) : emwind_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435672K) : emwind_opc has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435672K) : deepco_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435800K) : deepco_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435800K) : mim_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435800K) : edgeseal_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435928K) : edgeseal_bound has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435928K) : substrate_drw has 2 polygons
2026-03-11 03:00:58 +0100: Memory Usage (435928K) : substrate_text has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (436056K) : dfpad_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (436056K) : dfpad_pillar has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (436184K) : dfpad_sbump has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (436184K) : thickgateox_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (436312K) : pldb_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (436312K) : pwell_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (436312K) : pwell_pin has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (436440K) : pwell_block has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (436440K) : ic_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (436568K) : via3_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (436568K) : metal4_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (436568K) : metal4_pin has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (436696K) : metal4_mask has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (436696K) : metal4_filler has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (436696K) : metal4_nofill has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (436824K) : metal4_slit has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (436824K) : metal4_text has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (436824K) : metal4_opc has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (436952K) : metal4_noqrc has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (436952K) : metal4_res has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (437080K) : metal4_iprobe has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (437080K) : metal4_diffprb has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (437208K) : heattrans_drw has 4 polygons
2026-03-11 03:00:58 +0100: Memory Usage (437208K) : heatres_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (437208K) : pempoly_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (437336K) : fbe_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (437336K) : empoly_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (437464K) : ldmos_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (437464K) : pbiwind_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (437592K) : digisub_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (437592K) : nodrc_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (437592K) : text_drw has 4 polygons
2026-03-11 03:00:58 +0100: Memory Usage (437720K) : via4_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (437720K) : metal5_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (437848K) : metal5_pin has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (437848K) : metal5_mask has 0 polygons
